Date,damp_unscaled,damp_monthly,isPartial,scale,damp
2018-01-01,0,,,,
2018-01-02,0,,,,
2018-01-03,0,,,,
2018-01-04,0,,,,
2018-01-05,100,,,,
2018-01-06,0,,,,
2018-01-07,0,0.0,False,0.0,0.0
2018-01-08,0,0.0,,0.0,0.0
2018-01-09,96,0.0,,0.0,0.0
2018-01-10,0,0.0,,0.0,0.0
2018-01-11,97,0.0,,0.0,0.0
2018-01-12,0,0.0,,0.0,0.0
2018-01-13,0,0.0,,0.0,0.0
2018-01-14,0,0.0,False,0.0,0.0
2018-01-15,0,0.0,,0.0,0.0
2018-01-16,0,0.0,,0.0,0.0
2018-01-17,0,0.0,,0.0,0.0
2018-01-18,0,0.0,,0.0,0.0
2018-01-19,0,0.0,,0.0,0.0
2018-01-20,0,0.0,,0.0,0.0
2018-01-21,0,65.0,False,0.65,0.0
2018-01-22,85,65.0,,0.65,55.25
2018-01-23,0,65.0,,0.65,0.0
2018-01-24,0,65.0,,0.65,0.0
2018-01-25,0,65.0,,0.65,0.0
2018-01-26,0,65.0,,0.65,0.0
2018-01-27,0,65.0,,0.65,0.0
2018-01-28,0,65.0,False,0.65,0.0
2018-01-29,0,65.0,,0.65,0.0
2018-01-30,0,65.0,,0.65,0.0
2018-01-31,0,65.0,,0.65,0.0
2018-02-01,0,65.0,,0.65,0.0
2018-02-02,0,65.0,,0.65,0.0
2018-02-03,100,65.0,,0.65,65.0
2018-02-04,0,63.0,False,0.63,0.0
2018-02-05,0,63.0,,0.63,0.0
2018-02-06,0,63.0,,0.63,0.0
2018-02-07,0,63.0,,0.63,0.0
2018-02-08,0,63.0,,0.63,0.0
2018-02-09,86,63.0,,0.63,54.18
2018-02-10,0,63.0,,0.63,0.0
2018-02-11,0,0.0,False,0.0,0.0
2018-02-12,0,0.0,,0.0,0.0
2018-02-13,0,0.0,,0.0,0.0
2018-02-14,0,0.0,,0.0,0.0
2018-02-15,0,0.0,,0.0,0.0
2018-02-16,0,0.0,,0.0,0.0
2018-02-17,0,0.0,,0.0,0.0
2018-02-18,0,20.0,False,0.2,0.0
2018-02-19,0,20.0,,0.2,0.0
2018-02-20,0,20.0,,0.2,0.0
2018-02-21,0,20.0,,0.2,0.0
2018-02-22,81,20.0,,0.2,16.2
2018-02-23,94,20.0,,0.2,18.8
2018-02-24,0,20.0,,0.2,0.0
2018-02-25,85,40.0,False,0.4,34.0
2018-02-26,0,40.0,,0.4,0.0
2018-02-27,0,40.0,,0.4,0.0
2018-02-28,0,40.0,,0.4,0.0
2018-03-01,0,40.0,,0.4,0.0
2018-03-02,100,40.0,,0.4,40.0
2018-03-03,0,40.0,,0.4,0.0
2018-03-04,46,100.0,False,1.0,46.0
2018-03-05,41,100.0,,1.0,41.0
2018-03-06,0,100.0,,1.0,0.0
2018-03-07,0,100.0,,1.0,0.0
2018-03-08,0,100.0,,1.0,0.0
2018-03-09,0,100.0,,1.0,0.0
2018-03-10,0,100.0,,1.0,0.0
2018-03-11,0,20.0,False,0.2,0.0
2018-03-12,0,20.0,,0.2,0.0
2018-03-13,42,20.0,,0.2,8.4
2018-03-14,0,20.0,,0.2,0.0
2018-03-15,0,20.0,,0.2,0.0
2018-03-16,51,20.0,,0.2,10.200000000000001
2018-03-17,0,20.0,,0.2,0.0
2018-03-18,0,99.0,False,0.99,0.0
2018-03-19,0,99.0,,0.99,0.0
2018-03-20,84,99.0,,0.99,83.16
2018-03-21,0,99.0,,0.99,0.0
2018-03-22,0,99.0,,0.99,0.0
2018-03-23,0,99.0,,0.99,0.0
2018-03-24,0,99.0,,0.99,0.0
2018-03-25,0,0.0,False,0.0,0.0
2018-03-26,0,0.0,,0.0,0.0
2018-03-27,0,0.0,,0.0,0.0
2018-03-28,0,0.0,,0.0,0.0
2018-03-29,0,0.0,,0.0,0.0
2018-03-30,0,0.0,,0.0,0.0
2018-03-31,0,0.0,,0.0,0.0
2018-04-01,0,42.0,False,0.42,0.0
2018-04-02,0,42.0,,0.42,0.0
2018-04-03,0,42.0,,0.42,0.0
2018-04-04,86,42.0,,0.42,36.12
2018-04-05,0,42.0,,0.42,0.0
2018-04-06,0,42.0,,0.42,0.0
2018-04-07,0,42.0,,0.42,0.0
2018-04-08,0,59.0,False,0.59,0.0
2018-04-09,85,59.0,,0.59,50.15
2018-04-10,87,59.0,,0.59,51.33
2018-04-11,0,59.0,,0.59,0.0
2018-04-12,0,59.0,,0.59,0.0
2018-04-13,0,59.0,,0.59,0.0
2018-04-14,0,59.0,,0.59,0.0
2018-04-15,0,64.0,False,0.64,0.0
2018-04-16,92,64.0,,0.64,58.88
2018-04-17,0,64.0,,0.64,0.0
2018-04-18,0,64.0,,0.64,0.0
2018-04-19,100,64.0,,0.64,64.0
2018-04-20,0,64.0,,0.64,0.0
2018-04-21,0,64.0,,0.64,0.0
2018-04-22,0,0.0,False,0.0,0.0
2018-04-23,0,0.0,,0.0,0.0
2018-04-24,0,0.0,,0.0,0.0
2018-04-25,0,0.0,,0.0,0.0
2018-04-26,0,0.0,,0.0,0.0
2018-04-27,0,0.0,,0.0,0.0
2018-04-28,0,0.0,,0.0,0.0
2018-04-29,0,0.0,False,0.0,0.0
2018-04-30,0,0.0,,0.0,0.0
2018-05-01,0,0.0,,0.0,0.0
2018-05-02,0,0.0,,0.0,0.0
2018-05-03,0,0.0,,0.0,0.0
2018-05-04,0,0.0,,0.0,0.0
2018-05-05,0,0.0,,0.0,0.0
2018-05-06,0,40.0,False,0.4,0.0
2018-05-07,0,40.0,,0.4,0.0
2018-05-08,0,40.0,,0.4,0.0
2018-05-09,0,40.0,,0.4,0.0
2018-05-10,0,40.0,,0.4,0.0
2018-05-11,0,40.0,,0.4,0.0
2018-05-12,0,40.0,,0.4,0.0
2018-05-13,67,79.0,False,0.79,52.93
2018-05-14,30,79.0,,0.79,23.700000000000003
2018-05-15,0,79.0,,0.79,0.0
2018-05-16,0,79.0,,0.79,0.0
2018-05-17,0,79.0,,0.79,0.0
2018-05-18,0,79.0,,0.79,0.0
2018-05-19,37,79.0,,0.79,29.23
2018-05-20,34,20.0,False,0.2,6.800000000000001
2018-05-21,0,20.0,,0.2,0.0
2018-05-22,0,20.0,,0.2,0.0
2018-05-23,0,20.0,,0.2,0.0
2018-05-24,30,20.0,,0.2,6.0
2018-05-25,0,20.0,,0.2,0.0
2018-05-26,38,20.0,,0.2,7.6000000000000005
2018-05-27,100,21.0,False,0.21,21.0
2018-05-28,0,21.0,,0.21,0.0
2018-05-29,0,21.0,,0.21,0.0
2018-05-30,0,21.0,,0.21,0.0
2018-05-31,0,21.0,,0.21,0.0
2018-06-01,0,21.0,,0.21,0.0
2018-06-02,0,21.0,,0.21,0.0
2018-06-03,0,41.0,False,0.41,0.0
2018-06-04,0,41.0,,0.41,0.0
2018-06-05,0,41.0,,0.41,0.0
2018-06-06,0,41.0,,0.41,0.0
2018-06-07,0,41.0,,0.41,0.0
2018-06-08,100,41.0,,0.41,41.0
2018-06-09,0,41.0,,0.41,0.0
2018-06-10,0,19.0,False,0.19,0.0
2018-06-11,80,19.0,,0.19,15.2
2018-06-12,0,19.0,,0.19,0.0
2018-06-13,0,19.0,,0.19,0.0
2018-06-14,0,19.0,,0.19,0.0
2018-06-15,0,19.0,,0.19,0.0
2018-06-16,0,19.0,,0.19,0.0
2018-06-17,0,20.0,False,0.2,0.0
2018-06-18,0,20.0,,0.2,0.0
2018-06-19,0,20.0,,0.2,0.0
2018-06-20,0,20.0,,0.2,0.0
2018-06-21,83,20.0,,0.2,16.6
2018-06-22,0,20.0,,0.2,0.0
2018-06-23,0,20.0,,0.2,0.0
2018-06-24,0,21.0,False,0.21,0.0
2018-06-25,0,21.0,,0.21,0.0
2018-06-26,0,21.0,,0.21,0.0
2018-06-27,0,21.0,,0.21,0.0
2018-06-28,0,21.0,,0.21,0.0
2018-06-29,0,21.0,,0.21,0.0
2018-06-30,0,21.0,,0.21,0.0
2018-07-01,0,41.0,False,0.41,0.0
2018-07-02,0,41.0,,0.41,0.0
2018-07-03,0,41.0,,0.41,0.0
2018-07-04,0,41.0,,0.41,0.0
2018-07-05,0,41.0,,0.41,0.0
2018-07-06,0,41.0,,0.41,0.0
2018-07-07,0,41.0,,0.41,0.0
2018-07-08,0,22.0,False,0.22,0.0
2018-07-09,0,22.0,,0.22,0.0
2018-07-10,0,22.0,,0.22,0.0
2018-07-11,0,22.0,,0.22,0.0
2018-07-12,0,22.0,,0.22,0.0
2018-07-13,0,22.0,,0.22,0.0
2018-07-14,100,22.0,,0.22,22.0
2018-07-15,0,66.0,False,0.66,0.0
2018-07-16,0,66.0,,0.66,0.0
2018-07-17,0,66.0,,0.66,0.0
2018-07-18,0,66.0,,0.66,0.0
2018-07-19,0,66.0,,0.66,0.0
2018-07-20,0,66.0,,0.66,0.0
2018-07-21,0,66.0,,0.66,0.0
2018-07-22,0,61.0,False,0.61,0.0
2018-07-23,0,61.0,,0.61,0.0
2018-07-24,77,61.0,,0.61,46.97
2018-07-25,0,61.0,,0.61,0.0
2018-07-26,0,61.0,,0.61,0.0
2018-07-27,0,61.0,,0.61,0.0
2018-07-28,0,61.0,,0.61,0.0
2018-07-29,0,20.0,False,0.2,0.0
2018-07-30,73,20.0,,0.2,14.600000000000001
2018-07-31,0,20.0,,0.2,0.0
2018-08-01,0,20.0,,0.2,0.0
2018-08-02,0,20.0,,0.2,0.0
2018-08-03,84,20.0,,0.2,16.8
2018-08-04,0,20.0,,0.2,0.0
2018-08-05,0,0.0,False,0.0,0.0
2018-08-06,0,0.0,,0.0,0.0
2018-08-07,0,0.0,,0.0,0.0
2018-08-08,0,0.0,,0.0,0.0
2018-08-09,0,0.0,,0.0,0.0
2018-08-10,0,0.0,,0.0,0.0
2018-08-11,0,0.0,,0.0,0.0
2018-08-12,82,61.0,False,0.61,50.019999999999996
2018-08-13,0,61.0,,0.61,0.0
2018-08-14,71,61.0,,0.61,43.31
2018-08-15,0,61.0,,0.61,0.0
2018-08-16,71,61.0,,0.61,43.31
2018-08-17,0,61.0,,0.61,0.0
2018-08-18,100,61.0,,0.61,61.0
2018-08-19,0,0.0,False,0.0,0.0
2018-08-20,0,0.0,,0.0,0.0
2018-08-21,0,0.0,,0.0,0.0
2018-08-22,72,0.0,,0.0,0.0
2018-08-23,0,0.0,,0.0,0.0
2018-08-24,0,0.0,,0.0,0.0
2018-08-25,0,0.0,,0.0,0.0
2018-08-26,0,21.0,False,0.21,0.0
2018-08-27,0,21.0,,0.21,0.0
2018-08-28,0,21.0,,0.21,0.0
2018-08-29,0,21.0,,0.21,0.0
2018-08-30,0,21.0,,0.21,0.0
2018-08-31,0,21.0,,0.21,0.0
2018-09-01,0,21.0,,0.21,0.0
2018-09-02,0,42.0,False,0.42,0.0
2018-09-03,84,42.0,,0.42,35.28
2018-09-04,0,42.0,,0.42,0.0
2018-09-05,0,42.0,,0.42,0.0
2018-09-06,0,42.0,,0.42,0.0
2018-09-07,100,42.0,,0.42,42.0
2018-09-08,0,42.0,,0.42,0.0
2018-09-09,0,0.0,False,0.0,0.0
2018-09-10,0,0.0,,0.0,0.0
2018-09-11,0,0.0,,0.0,0.0
2018-09-12,0,0.0,,0.0,0.0
2018-09-13,0,0.0,,0.0,0.0
2018-09-14,0,0.0,,0.0,0.0
2018-09-15,0,0.0,,0.0,0.0
2018-09-16,0,21.0,False,0.21,0.0
2018-09-17,0,21.0,,0.21,0.0
2018-09-18,0,21.0,,0.21,0.0
2018-09-19,0,21.0,,0.21,0.0
2018-09-20,0,21.0,,0.21,0.0
2018-09-21,98,21.0,,0.21,20.58
2018-09-22,0,21.0,,0.21,0.0
2018-09-23,0,0.0,False,0.0,0.0
2018-09-24,0,0.0,,0.0,0.0
2018-09-25,0,0.0,,0.0,0.0
2018-09-26,0,0.0,,0.0,0.0
2018-09-27,0,0.0,,0.0,0.0
2018-09-28,0,0.0,,0.0,0.0
2018-09-29,0,0.0,,0.0,0.0
2018-09-30,0,0.0,False,0.0,0.0
2018-10-01,0,0.0,,0.0,0.0
2018-10-02,0,0.0,,0.0,0.0
2018-10-03,0,0.0,,0.0,0.0
2018-10-04,0,0.0,,0.0,0.0
2018-10-05,0,0.0,,0.0,0.0
2018-10-06,0,0.0,,0.0,0.0
2018-10-07,0,0.0,False,0.0,0.0
2018-10-08,0,0.0,,0.0,0.0
2018-10-09,0,0.0,,0.0,0.0
2018-10-10,0,0.0,,0.0,0.0
2018-10-11,98,0.0,,0.0,0.0
2018-10-12,0,0.0,,0.0,0.0
2018-10-13,0,0.0,,0.0,0.0
2018-10-14,0,0.0,False,0.0,0.0
2018-10-15,0,0.0,,0.0,0.0
2018-10-16,0,0.0,,0.0,0.0
2018-10-17,0,0.0,,0.0,0.0
2018-10-18,0,0.0,,0.0,0.0
2018-10-19,0,0.0,,0.0,0.0
2018-10-20,0,0.0,,0.0,0.0
2018-10-21,0,86.0,False,0.86,0.0
2018-10-22,100,86.0,,0.86,86.0
2018-10-23,0,86.0,,0.86,0.0
2018-10-24,0,86.0,,0.86,0.0
2018-10-25,0,86.0,,0.86,0.0
2018-10-26,0,86.0,,0.86,0.0
2018-10-27,100,86.0,,0.86,86.0
2018-10-28,0,0.0,False,0.0,0.0
2018-10-29,78,0.0,,0.0,0.0
2018-10-30,0,0.0,,0.0,0.0
2018-10-31,0,0.0,,0.0,0.0
2018-11-01,0,0.0,,0.0,0.0
2018-11-02,0,0.0,,0.0,0.0
2018-11-03,0,0.0,,0.0,0.0
2018-11-04,0,0.0,False,0.0,0.0
2018-11-05,0,0.0,,0.0,0.0
2018-11-06,0,0.0,,0.0,0.0
2018-11-07,0,0.0,,0.0,0.0
2018-11-08,73,0.0,,0.0,0.0
2018-11-09,0,0.0,,0.0,0.0
2018-11-10,100,0.0,,0.0,0.0
2018-11-11,83,22.0,False,0.22,18.26
2018-11-12,0,22.0,,0.22,0.0
2018-11-13,0,22.0,,0.22,0.0
2018-11-14,0,22.0,,0.22,0.0
2018-11-15,0,22.0,,0.22,0.0
2018-11-16,0,22.0,,0.22,0.0
2018-11-17,0,22.0,,0.22,0.0
2018-11-18,0,21.0,False,0.21,0.0
2018-11-19,0,21.0,,0.21,0.0
2018-11-20,0,21.0,,0.21,0.0
2018-11-21,0,21.0,,0.21,0.0
2018-11-22,0,21.0,,0.21,0.0
2018-11-23,0,21.0,,0.21,0.0
2018-11-24,92,21.0,,0.21,19.32
2018-11-25,0,21.0,False,0.21,0.0
2018-11-26,0,21.0,,0.21,0.0
2018-11-27,0,21.0,,0.21,0.0
2018-11-28,0,21.0,,0.21,0.0
2018-11-29,0,21.0,,0.21,0.0
2018-11-30,0,21.0,,0.21,0.0
2018-12-01,0,21.0,,0.21,0.0
2018-12-02,80,23.0,False,0.23,18.400000000000002
2018-12-03,0,23.0,,0.23,0.0
2018-12-04,0,23.0,,0.23,0.0
2018-12-05,0,23.0,,0.23,0.0
2018-12-06,80,23.0,,0.23,18.400000000000002
2018-12-07,0,23.0,,0.23,0.0
2018-12-08,0,23.0,,0.23,0.0
2018-12-09,0,0.0,False,0.0,0.0
2018-12-10,0,0.0,,0.0,0.0
2018-12-11,77,0.0,,0.0,0.0
2018-12-12,0,0.0,,0.0,0.0
2018-12-13,84,0.0,,0.0,0.0
2018-12-14,0,0.0,,0.0,0.0
2018-12-15,0,0.0,,0.0,0.0
2018-12-16,0,0.0,False,0.0,0.0
2018-12-17,0,0.0,,0.0,0.0
2018-12-18,0,0.0,,0.0,0.0
2018-12-19,0,0.0,,0.0,0.0
2018-12-20,0,0.0,,0.0,0.0
2018-12-21,0,0.0,,0.0,0.0
2018-12-22,0,0.0,,0.0,0.0
2018-12-23,0,28.0,False,0.28,0.0
2018-12-24,0,28.0,,0.28,0.0
2018-12-25,0,28.0,,0.28,0.0
2018-12-26,0,28.0,,0.28,0.0
2018-12-27,100,28.0,,0.28,28.000000000000004
2018-12-28,0,28.0,,0.28,0.0
2018-12-29,0,28.0,,0.28,0.0
2018-12-30,0,0.0,False,0.0,0.0
2018-12-31,0,0.0,,0.0,0.0
2019-02-01,0,0.0,,0.0,0.0
2019-02-02,0,0.0,,0.0,0.0
2019-02-03,0,0.0,False,0.0,0.0
2019-02-04,0,0.0,,0.0,0.0
2019-02-05,0,0.0,,0.0,0.0
2019-02-06,0,0.0,,0.0,0.0
2019-02-07,0,0.0,,0.0,0.0
2019-02-08,0,0.0,,0.0,0.0
2019-02-09,0,0.0,,0.0,0.0
2019-02-10,0,21.0,False,0.21,0.0
2019-02-11,0,21.0,,0.21,0.0
2019-02-12,0,21.0,,0.21,0.0
2019-02-13,0,21.0,,0.21,0.0
2019-02-14,0,21.0,,0.21,0.0
2019-02-15,0,21.0,,0.21,0.0
2019-02-16,0,21.0,,0.21,0.0
2019-02-17,0,0.0,False,0.0,0.0
2019-02-18,0,0.0,,0.0,0.0
2019-02-19,44,0.0,,0.0,0.0
2019-02-20,0,0.0,,0.0,0.0
2019-02-21,0,0.0,,0.0,0.0
2019-02-22,0,0.0,,0.0,0.0
2019-02-23,55,0.0,,0.0,0.0
2019-02-24,100,44.0,False,0.44,44.0
2019-02-25,0,44.0,,0.44,0.0
2019-02-26,0,44.0,,0.44,0.0
2019-02-27,0,44.0,,0.44,0.0
2019-02-28,46,44.0,,0.44,20.24
2019-03-01,0,44.0,,0.44,0.0
2019-03-02,0,44.0,,0.44,0.0
2019-03-03,0,0.0,False,0.0,0.0
2019-03-04,0,0.0,,0.0,0.0
2019-03-05,0,0.0,,0.0,0.0
2019-03-06,75,0.0,,0.0,0.0
2019-03-07,0,0.0,,0.0,0.0
2019-03-08,0,0.0,,0.0,0.0
2019-03-09,0,0.0,,0.0,0.0
2019-03-10,0,22.0,False,0.22,0.0
2019-03-11,0,22.0,,0.22,0.0
2019-03-12,0,22.0,,0.22,0.0
2019-03-13,0,22.0,,0.22,0.0
