Date,fungus_unscaled,fungus_monthly,isPartial,scale,fungus
2018-01-01,0,,,,
2018-01-02,0,,,,
2018-01-03,0,,,,
2018-01-04,0,,,,
2018-01-05,100,,,,
2018-01-06,56,,,,
2018-01-07,0,33.0,False,0.33,0.0
2018-01-08,0,33.0,,0.33,0.0
2018-01-09,0,33.0,,0.33,0.0
2018-01-10,0,33.0,,0.33,0.0
2018-01-11,48,33.0,,0.33,15.84
2018-01-12,0,33.0,,0.33,0.0
2018-01-13,0,33.0,,0.33,0.0
2018-01-14,0,0.0,False,0.0,0.0
2018-01-15,0,0.0,,0.0,0.0
2018-01-16,0,0.0,,0.0,0.0
2018-01-17,0,0.0,,0.0,0.0
2018-01-18,0,0.0,,0.0,0.0
2018-01-19,0,0.0,,0.0,0.0
2018-01-20,0,0.0,,0.0,0.0
2018-01-21,0,15.0,False,0.15,0.0
2018-01-22,42,15.0,,0.15,6.3
2018-01-23,0,15.0,,0.15,0.0
2018-01-24,0,15.0,,0.15,0.0
2018-01-25,0,15.0,,0.15,0.0
2018-01-26,0,15.0,,0.15,0.0
2018-01-27,0,15.0,,0.15,0.0
2018-01-28,57,31.0,False,0.31,17.669999999999998
2018-01-29,98,31.0,,0.31,30.38
2018-01-30,0,31.0,,0.31,0.0
2018-01-31,0,31.0,,0.31,0.0
2018-02-01,0,31.0,,0.31,0.0
2018-02-02,0,31.0,,0.31,0.0
2018-02-03,0,31.0,,0.31,0.0
2018-02-04,0,0.0,False,0.0,0.0
2018-02-05,0,0.0,,0.0,0.0
2018-02-06,0,0.0,,0.0,0.0
2018-02-07,51,0.0,,0.0,0.0
2018-02-08,0,0.0,,0.0,0.0
2018-02-09,0,0.0,,0.0,0.0
2018-02-10,0,0.0,,0.0,0.0
2018-02-11,0,58.0,False,0.58,0.0
2018-02-12,48,58.0,,0.58,27.839999999999996
2018-02-13,48,58.0,,0.58,27.839999999999996
2018-02-14,100,58.0,,0.58,57.99999999999999
2018-02-15,0,58.0,,0.58,0.0
2018-02-16,0,58.0,,0.58,0.0
2018-02-17,0,58.0,,0.58,0.0
2018-02-18,0,44.0,False,0.44,0.0
2018-02-19,0,44.0,,0.44,0.0
2018-02-20,0,44.0,,0.44,0.0
2018-02-21,0,44.0,,0.44,0.0
2018-02-22,51,44.0,,0.44,22.44
2018-02-23,0,44.0,,0.44,0.0
2018-02-24,0,44.0,,0.44,0.0
2018-02-25,0,0.0,False,0.0,0.0
2018-02-26,0,0.0,,0.0,0.0
2018-02-27,0,0.0,,0.0,0.0
2018-02-28,0,0.0,,0.0,0.0
2018-03-01,0,0.0,,0.0,0.0
2018-03-02,0,0.0,,0.0,0.0
2018-03-03,0,0.0,,0.0,0.0
2018-03-04,0,57.0,False,0.57,0.0
2018-03-05,0,57.0,,0.57,0.0
2018-03-06,0,57.0,,0.57,0.0
2018-03-07,0,57.0,,0.57,0.0
2018-03-08,86,57.0,,0.57,49.019999999999996
2018-03-09,0,57.0,,0.57,0.0
2018-03-10,0,57.0,,0.57,0.0
2018-03-11,91,14.0,False,0.14,12.740000000000002
2018-03-12,0,14.0,,0.14,0.0
2018-03-13,0,14.0,,0.14,0.0
2018-03-14,0,14.0,,0.14,0.0
2018-03-15,0,14.0,,0.14,0.0
2018-03-16,0,14.0,,0.14,0.0
2018-03-17,0,14.0,,0.14,0.0
2018-03-18,0,14.0,False,0.14,0.0
2018-03-19,0,14.0,,0.14,0.0
2018-03-20,86,14.0,,0.14,12.040000000000001
2018-03-21,0,14.0,,0.14,0.0
2018-03-22,0,14.0,,0.14,0.0
2018-03-23,0,14.0,,0.14,0.0
2018-03-24,0,14.0,,0.14,0.0
2018-03-25,94,30.0,False,0.3,28.2
2018-03-26,83,30.0,,0.3,24.9
2018-03-27,84,30.0,,0.3,25.2
2018-03-28,0,30.0,,0.3,0.0
2018-03-29,100,30.0,,0.3,30.0
2018-03-30,0,30.0,,0.3,0.0
2018-03-31,0,30.0,,0.3,0.0
2018-04-01,53,30.0,False,0.3,15.899999999999999
2018-04-02,0,30.0,,0.3,0.0
2018-04-03,0,30.0,,0.3,0.0
2018-04-04,0,30.0,,0.3,0.0
2018-04-05,0,30.0,,0.3,0.0
2018-04-06,0,30.0,,0.3,0.0
2018-04-07,49,30.0,,0.3,14.7
2018-04-08,0,0.0,False,0.0,0.0
2018-04-09,0,0.0,,0.0,0.0
2018-04-10,0,0.0,,0.0,0.0
2018-04-11,0,0.0,,0.0,0.0
2018-04-12,0,0.0,,0.0,0.0
2018-04-13,0,0.0,,0.0,0.0
2018-04-14,0,0.0,,0.0,0.0
2018-04-15,0,60.0,False,0.6,0.0
2018-04-16,0,60.0,,0.6,0.0
2018-04-17,0,60.0,,0.6,0.0
2018-04-18,83,60.0,,0.6,49.8
2018-04-19,0,60.0,,0.6,0.0
2018-04-20,45,60.0,,0.6,27.0
2018-04-21,100,60.0,,0.6,60.0
2018-04-22,0,15.0,False,0.15,0.0
2018-04-23,0,15.0,,0.15,0.0
2018-04-24,0,15.0,,0.15,0.0
2018-04-25,44,15.0,,0.15,6.6
2018-04-26,42,15.0,,0.15,6.3
2018-04-27,0,15.0,,0.15,0.0
2018-04-28,0,15.0,,0.15,0.0
2018-04-29,0,28.0,False,0.28,0.0
2018-04-30,36,28.0,,0.28,10.080000000000002
2018-05-01,0,28.0,,0.28,0.0
2018-05-02,0,28.0,,0.28,0.0
2018-05-03,0,28.0,,0.28,0.0
2018-05-04,0,28.0,,0.28,0.0
2018-05-05,100,28.0,,0.28,28.000000000000004
2018-05-06,0,0.0,False,0.0,0.0
2018-05-07,0,0.0,,0.0,0.0
2018-05-08,0,0.0,,0.0,0.0
2018-05-09,0,0.0,,0.0,0.0
2018-05-10,0,0.0,,0.0,0.0
2018-05-11,0,0.0,,0.0,0.0
2018-05-12,0,0.0,,0.0,0.0
2018-05-13,83,14.0,False,0.14,11.620000000000001
2018-05-14,74,14.0,,0.14,10.360000000000001
2018-05-15,0,14.0,,0.14,0.0
2018-05-16,0,14.0,,0.14,0.0
2018-05-17,78,14.0,,0.14,10.920000000000002
2018-05-18,0,14.0,,0.14,0.0
2018-05-19,0,14.0,,0.14,0.0
2018-05-20,0,14.0,False,0.14,0.0
2018-05-21,0,14.0,,0.14,0.0
2018-05-22,0,14.0,,0.14,0.0
2018-05-23,0,14.0,,0.14,0.0
2018-05-24,78,14.0,,0.14,10.920000000000002
2018-05-25,0,14.0,,0.14,0.0
2018-05-26,0,14.0,,0.14,0.0
2018-05-27,0,15.0,False,0.15,0.0
2018-05-28,0,15.0,,0.15,0.0
2018-05-29,0,15.0,,0.15,0.0
2018-05-30,0,15.0,,0.15,0.0
2018-05-31,0,15.0,,0.15,0.0
2018-06-01,0,15.0,,0.15,0.0
2018-06-02,0,15.0,,0.15,0.0
2018-06-03,0,0.0,False,0.0,0.0
2018-06-04,39,0.0,,0.0,0.0
2018-06-05,0,0.0,,0.0,0.0
2018-06-06,0,0.0,,0.0,0.0
2018-06-07,0,0.0,,0.0,0.0
2018-06-08,0,0.0,,0.0,0.0
2018-06-09,0,0.0,,0.0,0.0
2018-06-10,0,0.0,False,0.0,0.0
2018-06-11,0,0.0,,0.0,0.0
2018-06-12,0,0.0,,0.0,0.0
2018-06-13,0,0.0,,0.0,0.0
2018-06-14,0,0.0,,0.0,0.0
2018-06-15,0,0.0,,0.0,0.0
2018-06-16,47,0.0,,0.0,0.0
2018-06-17,41,43.0,False,0.43,17.63
2018-06-18,0,43.0,,0.43,0.0
2018-06-19,36,43.0,,0.43,15.48
2018-06-20,0,43.0,,0.43,0.0
2018-06-21,37,43.0,,0.43,15.91
2018-06-22,0,43.0,,0.43,0.0
2018-06-23,100,43.0,,0.43,43.0
2018-06-24,0,0.0,False,0.0,0.0
2018-06-25,0,0.0,,0.0,0.0
2018-06-26,0,0.0,,0.0,0.0
2018-06-27,0,0.0,,0.0,0.0
2018-06-28,0,0.0,,0.0,0.0
2018-06-29,0,0.0,,0.0,0.0
2018-06-30,52,0.0,,0.0,0.0
2018-07-01,0,0.0,False,0.0,0.0
2018-07-02,0,0.0,,0.0,0.0
2018-07-03,0,0.0,,0.0,0.0
2018-07-04,0,0.0,,0.0,0.0
2018-07-05,0,0.0,,0.0,0.0
2018-07-06,0,0.0,,0.0,0.0
2018-07-07,0,0.0,,0.0,0.0
2018-07-08,100,15.0,False,0.15,15.0
2018-07-09,0,15.0,,0.15,0.0
2018-07-10,0,15.0,,0.15,0.0
2018-07-11,91,15.0,,0.15,13.65
2018-07-12,0,15.0,,0.15,0.0
2018-07-13,0,15.0,,0.15,0.0
2018-07-14,0,15.0,,0.15,0.0
2018-07-15,0,15.0,False,0.15,0.0
2018-07-16,0,15.0,,0.15,0.0
2018-07-17,0,15.0,,0.15,0.0
2018-07-18,0,15.0,,0.15,0.0
2018-07-19,0,15.0,,0.15,0.0
2018-07-20,0,15.0,,0.15,0.0
2018-07-21,0,15.0,,0.15,0.0
2018-07-22,0,15.0,False,0.15,0.0
2018-07-23,87,15.0,,0.15,13.049999999999999
2018-07-24,0,15.0,,0.15,0.0
2018-07-25,84,15.0,,0.15,12.6
2018-07-26,0,15.0,,0.15,0.0
2018-07-27,0,15.0,,0.15,0.0
2018-07-28,0,15.0,,0.15,0.0
2018-07-29,0,0.0,False,0.0,0.0
2018-07-30,0,0.0,,0.0,0.0
2018-07-31,0,0.0,,0.0,0.0
2018-08-01,79,0.0,,0.0,0.0
2018-08-02,0,0.0,,0.0,0.0
2018-08-03,0,0.0,,0.0,0.0
2018-08-04,0,0.0,,0.0,0.0
2018-08-05,88,29.0,False,0.29,25.52
2018-08-06,0,29.0,,0.29,0.0
2018-08-07,0,29.0,,0.29,0.0
2018-08-08,0,29.0,,0.29,0.0
2018-08-09,0,29.0,,0.29,0.0
2018-08-10,0,29.0,,0.29,0.0
2018-08-11,0,29.0,,0.29,0.0
2018-08-12,0,0.0,False,0.0,0.0
2018-08-13,0,0.0,,0.0,0.0
2018-08-14,80,0.0,,0.0,0.0
2018-08-15,0,0.0,,0.0,0.0
2018-08-16,0,0.0,,0.0,0.0
2018-08-17,90,0.0,,0.0,0.0
2018-08-18,0,0.0,,0.0,0.0
2018-08-19,0,29.0,False,0.29,0.0
2018-08-20,0,29.0,,0.29,0.0
2018-08-21,78,29.0,,0.29,22.619999999999997
2018-08-22,81,29.0,,0.29,23.49
2018-08-23,0,29.0,,0.29,0.0
2018-08-24,0,29.0,,0.29,0.0
2018-08-25,0,29.0,,0.29,0.0
2018-08-26,0,45.0,False,0.45,0.0
2018-08-27,83,45.0,,0.45,37.35
2018-08-28,83,45.0,,0.45,37.35
2018-08-29,0,45.0,,0.45,0.0
2018-08-30,0,45.0,,0.45,0.0
2018-08-31,100,45.0,,0.45,45.0
2018-09-01,0,45.0,,0.45,0.0
2018-09-02,0,15.0,False,0.15,0.0
2018-09-03,73,15.0,,0.15,10.95
2018-09-04,0,15.0,,0.15,0.0
2018-09-05,74,15.0,,0.15,11.1
2018-09-06,0,15.0,,0.15,0.0
2018-09-07,0,15.0,,0.15,0.0
2018-09-08,0,15.0,,0.15,0.0
2018-09-09,0,0.0,False,0.0,0.0
2018-09-10,0,0.0,,0.0,0.0
2018-09-11,0,0.0,,0.0,0.0
2018-09-12,76,0.0,,0.0,0.0
2018-09-13,0,0.0,,0.0,0.0
2018-09-14,0,0.0,,0.0,0.0
2018-09-15,0,0.0,,0.0,0.0
2018-09-16,0,30.0,False,0.3,0.0
2018-09-17,73,30.0,,0.3,21.9
2018-09-18,71,30.0,,0.3,21.3
2018-09-19,0,30.0,,0.3,0.0
2018-09-20,0,30.0,,0.3,0.0
2018-09-21,0,30.0,,0.3,0.0
2018-09-22,0,30.0,,0.3,0.0
2018-09-23,0,0.0,False,0.0,0.0
2018-09-24,0,0.0,,0.0,0.0
2018-09-25,0,0.0,,0.0,0.0
2018-09-26,0,0.0,,0.0,0.0
2018-09-27,0,0.0,,0.0,0.0
2018-09-28,0,0.0,,0.0,0.0
2018-09-29,100,0.0,,0.0,0.0
2018-09-30,0,0.0,False,0.0,0.0
2018-10-01,0,0.0,,0.0,0.0
2018-10-02,0,0.0,,0.0,0.0
2018-10-03,0,0.0,,0.0,0.0
2018-10-04,0,0.0,,0.0,0.0
2018-10-05,0,0.0,,0.0,0.0
2018-10-06,0,0.0,,0.0,0.0
2018-10-07,0,16.0,False,0.16,0.0
2018-10-08,0,16.0,,0.16,0.0
2018-10-09,0,16.0,,0.16,0.0
2018-10-10,0,16.0,,0.16,0.0
2018-10-11,0,16.0,,0.16,0.0
2018-10-12,0,16.0,,0.16,0.0
2018-10-13,0,16.0,,0.16,0.0
2018-10-14,60,46.0,False,0.46,27.6
2018-10-15,0,46.0,,0.46,0.0
2018-10-16,0,46.0,,0.46,0.0
2018-10-17,0,46.0,,0.46,0.0
2018-10-18,0,46.0,,0.46,0.0
2018-10-19,65,46.0,,0.46,29.900000000000002
2018-10-20,0,46.0,,0.46,0.0
2018-10-21,0,15.0,False,0.15,0.0
2018-10-22,0,15.0,,0.15,0.0
2018-10-23,0,15.0,,0.15,0.0
2018-10-24,51,15.0,,0.15,7.6499999999999995
2018-10-25,0,15.0,,0.15,0.0
2018-10-26,0,15.0,,0.15,0.0
2018-10-27,0,15.0,,0.15,0.0
2018-10-28,55,73.0,False,0.73,40.15
2018-10-29,0,73.0,,0.73,0.0
2018-10-30,100,73.0,,0.73,73.0
2018-10-31,55,73.0,,0.73,40.15
2018-11-01,0,73.0,,0.73,0.0
2018-11-02,0,73.0,,0.73,0.0
2018-11-03,0,73.0,,0.73,0.0
2018-11-04,0,29.0,False,0.29,0.0
2018-11-05,0,29.0,,0.29,0.0
2018-11-06,83,29.0,,0.29,24.069999999999997
2018-11-07,0,29.0,,0.29,0.0
2018-11-08,0,29.0,,0.29,0.0
2018-11-09,99,29.0,,0.29,28.709999999999997
2018-11-10,0,29.0,,0.29,0.0
2018-11-11,0,0.0,False,0.0,0.0
2018-11-12,0,0.0,,0.0,0.0
2018-11-13,0,0.0,,0.0,0.0
2018-11-14,0,0.0,,0.0,0.0
2018-11-15,0,0.0,,0.0,0.0
2018-11-16,0,0.0,,0.0,0.0
2018-11-17,0,0.0,,0.0,0.0
2018-11-18,0,0.0,False,0.0,0.0
2018-11-19,0,0.0,,0.0,0.0
2018-11-20,0,0.0,,0.0,0.0
2018-11-21,81,0.0,,0.0,0.0
2018-11-22,0,0.0,,0.0,0.0
2018-11-23,0,0.0,,0.0,0.0
2018-11-24,100,0.0,,0.0,0.0
2018-11-25,0,45.0,False,0.45,0.0
2018-11-26,0,45.0,,0.45,0.0
2018-11-27,0,45.0,,0.45,0.0
2018-11-28,0,45.0,,0.45,0.0
2018-11-29,0,45.0,,0.45,0.0
2018-11-30,0,45.0,,0.45,0.0
2018-12-01,85,45.0,,0.45,38.25
2018-12-02,0,16.0,False,0.16,0.0
2018-12-03,0,16.0,,0.16,0.0
2018-12-04,0,16.0,,0.16,0.0
2018-12-05,0,16.0,,0.16,0.0
2018-12-06,0,16.0,,0.16,0.0
2018-12-07,93,16.0,,0.16,14.88
2018-12-08,0,16.0,,0.16,0.0
2018-12-09,0,49.0,False,0.49,0.0
2018-12-10,0,49.0,,0.49,0.0
2018-12-11,0,49.0,,0.49,0.0
2018-12-12,0,49.0,,0.49,0.0
2018-12-13,0,49.0,,0.49,0.0
2018-12-14,83,49.0,,0.49,40.67
2018-12-15,0,49.0,,0.49,0.0
2018-12-16,0,33.0,False,0.33,0.0
2018-12-17,0,33.0,,0.33,0.0
2018-12-18,0,33.0,,0.33,0.0
2018-12-19,0,33.0,,0.33,0.0
2018-12-20,0,33.0,,0.33,0.0
2018-12-21,0,33.0,,0.33,0.0
2018-12-22,0,33.0,,0.33,0.0
2018-12-23,0,41.0,False,0.41,0.0
2018-12-24,0,41.0,,0.41,0.0
2018-12-25,0,41.0,,0.41,0.0
2018-12-26,0,41.0,,0.41,0.0
2018-12-27,0,41.0,,0.41,0.0
2018-12-28,0,41.0,,0.41,0.0
2018-12-29,100,41.0,,0.41,41.0
2018-12-30,97,39.0,False,0.39,37.83
2018-12-31,0,39.0,,0.39,0.0
2019-01-01,0,39.0,,0.39,0.0
2019-01-02,0,39.0,,0.39,0.0
2019-01-03,89,39.0,,0.39,34.71
2019-01-04,100,39.0,,0.39,39.0
2019-01-05,0,39.0,,0.39,0.0
2019-01-06,0,34.0,False,0.34,0.0
2019-01-07,0,34.0,,0.34,0.0
2019-01-08,0,34.0,,0.34,0.0
2019-01-09,0,34.0,,0.34,0.0
2019-01-10,0,34.0,,0.34,0.0
2019-01-11,92,34.0,,0.34,31.28
2019-01-12,100,34.0,,0.34,34.0
2019-01-13,0,16.0,False,0.16,0.0
2019-01-14,0,16.0,,0.16,0.0
2019-01-15,0,16.0,,0.16,0.0
2019-01-16,0,16.0,,0.16,0.0
2019-01-17,0,16.0,,0.16,0.0
2019-01-18,0,16.0,,0.16,0.0
2019-01-19,0,16.0,,0.16,0.0
2019-01-20,0,48.0,False,0.48,0.0
2019-01-21,0,48.0,,0.48,0.0
2019-01-22,76,48.0,,0.48,36.48
2019-01-23,0,48.0,,0.48,0.0
2019-01-24,0,48.0,,0.48,0.0
2019-01-25,0,48.0,,0.48,0.0
2019-01-26,0,48.0,,0.48,0.0
2019-01-27,0,63.0,False,0.63,0.0
2019-01-28,0,63.0,,0.63,0.0
2019-01-29,0,63.0,,0.63,0.0
2019-01-30,74,63.0,,0.63,46.62
2019-01-31,0,63.0,,0.63,0.0
2019-02-01,100,63.0,,0.63,63.0
2019-02-02,0,63.0,,0.63,0.0
2019-02-03,0,0.0,False,0.0,0.0
2019-02-04,0,0.0,,0.0,0.0
2019-02-05,0,0.0,,0.0,0.0
2019-02-06,0,0.0,,0.0,0.0
2019-02-07,0,0.0,,0.0,0.0
2019-02-08,0,0.0,,0.0,0.0
